Utility Number,Utility Name,State,country,Division_type,Division_id
49853,Amigo Energy,TX,US,NERC_REGION,TRE
49922,U.S. Energy Partners LLC,NY,US,NERC_REGION,
49952,3000 Energy Corp,TX,US,NERC_REGION,
49956,Merrill Lynch Commodities,TX,US,NERC_REGION,
49986,Southwest Iowa Rural Elec Coop,IA,US,NERC_REGION,RFC
49987,Harvard Dedicated Energy Limit,MA,US,NERC_REGION,
49998,City of Berea Municipal Utility,KY,US,NERC_REGION,RFC
50041,"Stream SPE, LTD",TX,US,NERC_REGION,
50043,"Exelon Generation Company, LLC",MD,US,NERC_REGION,RFC
50046,"Texas Retail Energy, LLC",AR,US,NERC_REGION,
50153,"APN Starfirst, L.P.",PA,US,NERC_REGION,
50156,AmeriPower LLC,TX,US,NERC_REGION,
50174,Electric Transmission Texas LLC,TX,US,NERC_REGION,
54728,Texas General Land Office,TX,US,NERC_REGION,
54820,Direct Energy Services,TX,US,NERC_REGION,
54872,"Accent Energy Holdings, LLC",OH,US,NERC_REGION,
54873,Freedom Energy,NH,US,NERC_REGION,
54875,New York Industrial Energy Buyers,NY,US,NERC_REGION,
54893,NOCO Electric,NY,US,NERC_REGION,NPCC
54913,NSTAR Electric Company,MA,US,NERC_REGION,
55701,"Sempra Gas & Power Marketing, LLC",CA,US,NERC_REGION,
55719,TDM US,CA,US,NERC_REGION,
55722,AEP Energy,IL,US,NERC_REGION,RFC
55758,"GenOn Energy Management, LLC",TX,US,NERC_REGION,
55781,Liberty Power Corp.,FL,US,NERC_REGION,
55787,City of Moreno Valley - (CA),CA,US,NERC_REGION,WECC
55813,"Bluerock Energy, Inc.",NY,US,NERC_REGION,
55814,"Columbia Utilities Power, LLC",NY,US,NERC_REGION,
55815,"IDT Energy, Inc.",NJ,US,NERC_REGION,
55874,"Energy Services Providers, Inc",MA,US,NERC_REGION,
55878,Hudson Energy Services,NY,US,NERC_REGION,
55897,PSEG Energy Resources and Trade,NJ,US,NERC_REGION,
55937,Entergy Texas Inc.,TX,US,NERC_REGION,SERC
55959,Roughrider Electric Cooperativ,ND,US,NERC_REGION,MRO
55982,Heart of Texas Electric Coop,TX,US,NERC_REGION,
56068,International Transmission Company DBA I,MI,US,NERC_REGION,
56146,"Black Hills Colorado Electric, LLC",SD,US,NERC_REGION,WECC
56161,ITC Midwest LLC,MI,US,NERC_REGION,
56162,American Transmission Systems Inc,OH,US,NERC_REGION,RFC
56163,"Michigan Electric Transmission Company,",MI,US,NERC_REGION,
56196,Just Energy New York Corp.,CN,US,NERC_REGION,
56212,"Ambit Energy Holdings, LLC",TX,US,NERC_REGION,
56220,Anthracite Power & Light,PA,US,NERC_REGION,
56224,Rancho Cucamonga Municipal Utility,CA,US,NERC_REGION,
56247,Mega Energy LP DBA Texans Energy,TX,US,NERC_REGION,
56248,"Young Energy, LLC",TX,US,NERC_REGION,TRE
